Player,Squad,Age,90s,Gls,npxG,Sh,SoT,G/Sh,G/SoT,Gls/90,npxG/90,Sh/90,SoT/90,Ast,xAG,KP,SCA,GCA,Ast/90,xAG/90,KP/90,SCA/90,GCA/90,PrgC,PrgP,PrgR,Carries,Touches (Att Pen),PrgC/90,PrgP/90,PrgC/90,Carries/90,Attack_Output_Index,Creativity_Index,Progression_Index,Performance_Index
Adam Armstrong,Southampton,27,13.9,2,2.3,25,7,0.08,0.29,0.14,0.17,1.8,0.5,2,1.2,9,19,4,0.14,0.09,0.65,1.37,0.29,25,21,79,235,49,1.8,1.51,1.8,16.9,0.4565,0.534,4.82,1.35245
Adama Traoré,Fulham,28,19.7,2,4,39,12,0.05,0.17,0.1,0.2,1.98,0.61,7,4.9,42,82,10,0.36,0.25,2.13,4.16,0.51,100,68,161,538,91,5.08,3.45,5.08,27.3,0.5035,1.622,9.524,2.64315
Alejandro Garnacho,Manchester Utd,20,24.4,6,7.3,84,29,0.07,0.21,0.25,0.3,3.44,1.19,2,4.5,37,83,6,0.08,0.18,1.52,3.4,0.25,141,56,290,840,176,5.78,2.3,5.78,34.4,0.892,1.233,11.504,3.1167
Alex Iwobi,Fulham,28,33.1,9,4.7,68,29,0.13,0.31,0.27,0.14,2.05,0.88,6,7,59,122,16,0.18,0.21,1.78,3.69,0.48,144,213,246,1312,116,4.35,6.44,4.35,39.6,0.57,1.404,11.4,2.9862
Alexander Isak,Newcastle Utd,24,30.6,23,17.2,95,41,0.2,0.46,0.75,0.56,3.1,1.34,6,4.3,41,92,14,0.2,0.14,1.34,3.01,0.46,83,88,217,615,189,2.71,2.88,2.71,20.1,1.1055,1.106,6.188,2.12215
Amad Diallo,Manchester Utd,22,21.1,8,4.7,47,17,0.17,0.47,0.38,0.22,2.23,0.81,6,4.9,49,97,18,0.28,0.23,2.32,4.6,0.85,109,60,200,782,131,5.17,2.84,5.17,37.1,0.65,1.793,11.556,3.1741
Anthony Elanga,Nott'ham Forest,22,27.8,6,4.5,44,24,0.14,0.25,0.22,0.16,1.58,0.86,11,5.7,50,102,18,0.4,0.21,1.8,3.67,0.65,102,63,229,600,110,3.67,2.27,3.67,21.6,0.493,1.423,7.256,2.1246
Anthony Gordon,Newcastle Utd,23,27,6,6.5,57,16,0.09,0.31,0.22,0.24,2.11,0.59,5,5,51,101,12,0.19,0.19,1.89,3.74,0.44,121,98,214,818,128,4.48,3.63,4.48,30.3,0.568,1.435,9.644,2.6433
Antoine Semenyo,Bournemouth,24,35.6,11,10,125,40,0.09,0.28,0.31,0.28,3.51,1.12,5,5.8,46,132,13,0.14,0.16,1.29,3.71,0.37,140,109,282,979,191,3.93,3.06,3.93,27.5,0.898,1.23,8.644,2.5468
Bernardo Silva,Manchester City,29,29.7,4,3.9,32,11,0.13,0.36,0.13,0.13,1.08,0.37,4,5.1,53,92,8,0.13,0.17,1.78,3.1,0.27,101,134,200,1288,141,3.4,4.51,3.4,43.4,0.3085,1.249,11.4,2.80895
Beto,Everton,26,17,8,8.2,49,23,0.16,0.35,0.47,0.48,2.88,1.35,0,1.2,12,26,1,0,0.07,0.71,1.53,0.06,15,16,77,267,86,0.88,0.94,0.88,15.7,0.968,0.553,3.844,1.4187
Bilal El Khannouss,Leicester City,20,24.2,2,1.3,30,7,0.07,0.29,0.08,0.05,1.24,0.29,3,4.6,42,78,7,0.12,0.19,1.74,3.22,0.29,73,128,89,732,35,3.02,5.29,3.02,30.2,0.272,1.271,8.456,2.2085
Brennan Johnson,Tottenham,23,24.2,11,10.4,54,20,0.2,0.55,0.45,0.43,2.23,0.83,3,2.3,19,46,7,0.12,0.1,0.79,1.9,0.29,60,71,197,544,125,2.48,2.93,2.48,22.5,0.765,0.686,6.484,1.8851
Bryan Mbeumo,Brentford,24,37.9,20,7.5,79,34,0.19,0.44,0.53,0.2,2.08,0.9,7,8.3,70,144,20,0.18,0.22,1.85,3.8,0.53,130,141,351,1077,168,3.43,3.72,3.43,28.4,0.6695,1.456,8.424,2.45635
Bukayo Saka,Arsenal,22,19.2,6,6,66,22,0.08,0.23,0.31,0.31,3.44,1.15,10,7.6,58,117,23,0.52,0.4,3.02,6.09,1.2,96,70,255,628,162,5,3.65,5,32.7,0.9055,2.404,10.54,3.28195
Callum Hudson-Odoi,Nott'ham Forest,23,24.4,5,2.5,37,17,0.14,0.29,0.2,0.1,1.52,0.7,2,2.7,44,94,11,0.08,0.11,1.8,3.85,0.45,130,71,189,641,74,5.33,2.91,5.33,26.3,0.428,1.399,9.524,2.5385
Cameron Archer,Southampton,23,16,2,4.9,28,10,0.07,0.2,0.13,0.31,1.75,0.63,0,0.5,5,20,0,0,0.03,0.31,1.25,0,22,14,66,226,52,1.38,0.88,1.38,14.1,0.529,0.355,3.924,1.1558
